Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
ANATERO,9959,28/03/2022,138984,ANASTROZOLE,1 mg,B/30,COMPRIMÉ,HETERO LABS LIMITED (UNIT-VI) TSIIC FORMULATION SEZ,ORALE,AGENT INHIBITEUR DE L’AROMATASE,RCP,Notice,Image
KLISUNATE,9799,26/01/2022,1219,ARTESUNATE,60 mg,B/1,SOLUTION INJECTABLE,KILITCH DRUG LTD,INJECTABLE,ANTIPALUDIQUE,RCP,Notice,Image
AMOXICILLINE,9874 BIS,0000-00-00,0,AMOXICILLINE,500 mg,B/100,GÉLULE,WEST AFRIC PHARMA,ORALE,PENICILLINES A LARGE SPECTRE,RCP,Notice,Image
NEALGYL,8142,22/04/2020,1706,PHLOROGLUCINOL DIHYDRATE,80 mg,BOITE/10,COMPRIMÉ ORODISPERSIBLE,BOTTU SA,ORALE,ANTISPASMODIQUE,RCP,Notice,Image
FLUCOWOOD,9798,9/3/2022,438,FLUCONAZOLE,150 mg,B/1,GELULLE,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,DERIVES DE LA DIHYDROPYRIDINE,RCP,Notice,Image
ALGIBREX,9958,9/3/2022,6949,CELECOXIB,200 mg,B/10,GÉLULE,TAHA PHARMA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / Antirhumatismal / COXIBS,RCP,Notice,Image
BIAKOF,9240,11/5/2020,1828,AMMONIUM CHLORIDE / CITRATE DE SODIUM / DIPHENHYDRAMINE-HCL / MENTHOL,100 mg / 12.5 mg / 2.5 mg / 75 mg,FLACON/200 ml,SIROP,MIDC INDUSTRIAL,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
HALOSPA-S,9797,0000-00-00,2389,ACECLOFENAC / PARACETAMOL / SERRATIOPEPTIDASE,100 mg / 15 mg / 500 mg,B/10,COMPRIMÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANALGESIQUE / ANTI INFLAMMATOIRE / ANTIPYRETIQUE,RCP,Notice,Image
ALBENDAZOLE,9957,8/3/2022,0,ALBENDAZOLE,400 mg,B/100,COMPRIMÉ,WEST AFRIC PHARMA,ORALE,ANTIHELMINTHIQUE / ANTIPARASITAIRE,RCP,Notice,Image
MALWOOD P,9796,26/01/2022,2804,DIHYDROARTEMISININE / PHOSPHATE DE PIPERAQUINE,320 mg / 40 mg,B/12,COMPRIMÉ PELLICULÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANTIPALUDIQUE / ANTIPROTOZOAIRE,RCP,Notice,Image
SOLIFENACINE ARROW,9852 BIS,0000-00-00,4876,SOLIFENACINE,5 mg,B/30,COMPRIMÉ PELLICULÉ,ARROW GENERIQUES,ORALE,ANTISPASMODIQUE URINAIRES,RCP,Notice,Image
HALEFLU,9795,26/01/2022,1389,ACIDE ASCORBIQUE / CHLORHYDRATE DE PHENYLEPHRINE / MALEATE DE PHENIRAMINE / PARACETAMOL,10 mg / 250 mg / 4 mg / 500 mg,B/10,COMPRIMÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANALGESIQUE / ANTIHISTAMINIQUE / ANTIPYRETIQUE,RCP,Notice,Image
HALEFLU,9794,26/01/2022,1584,ACIDE ASCORBIQUE / CHLORHYDRATE DE PHENYLEPHRINE / MALEATE DE PHENIRAMINE / PARACETAMOL,10 mg / 250 mg / 4 mg / 500 mg,B/10,SACHET,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANALGESIQUE / ANTIHISTAMINIQUE / ANTIPYRETIQUE,RCP,Notice,Image
RAMIPRIL,9848 TER,0000-00-00,5791,RAMIPRIL,10 mg,B/30,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIHYTENSEUR,RCP,Notice,Image
COXIWOOD,9793,26/01/2022,4827,ETORICOXIB,90 mg,B/28,COMPRIMÉ PELLICULÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIRHUMATISMAUX,RCP,Notice,Image
RAMIPRIL,9848 BIS,0000-00-00,3962,RAMIPRIL,5 mg,B/30,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,,RCP,Notice,Image
VINCISEPTIL OTICO,9105,19/03/2020,1058,ACÉTONIDE DE FLUOCINOLONE / CHLOHYDRATE DE BENZYDAMINE / CHLORHYDRATE DE TETRACYCLINE / NEOMYCINE / POLYMYXINE,0.3 mg / 1.33 mg / 10000 UI / 30 mg / 5 mg,FLACON/5 ml,GOUTTE TOPIQUE,"SALVAT, SA GALL",OCULAIRE,ANTIINFECTIEUX / GLUCOCORTICOIDE,RCP,Notice,Image
DOMPAWOOD,9792,26/01/2022,3657,DOMPERIDONE / PANTOPRAZOLE,30 mg / 40 mg,B/20,GELULLE,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANTISECRETOIRE,RCP,Notice,Image
SERTRALINE ARROW,9851 BIS,0000-00-00,4876,,,B/30,COMPRIMÉ PELLICULÉ,ARROW GENERIQUES,ORALE,ANTIDEPRESSEUR,RCP,Notice,Image
COXIWOOD,9791,26/01/2022,3047,ETORICOXIB,60 mg,B/28,COMPRIMÉ PELLICULÉ,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
DOLCARE,9790,23/02/2022,4876,DICLOFENAC,75 mg,B/10,GELULLE,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
SKINET CREME,9789,26/01/2022,2133,NYSTATINE / SULFATE DE NEOMYCINE / TRIAMCINOLONE ACETONIDE,125 mg / 50 mg / 50 ui,T/50 G,CREME,GENERiC HEALTH CARE PVT. LTD,CUTANEE,ANTIBACTERIEN / ANTIFONGIQUE / CORTICOSTEROIDE,RCP,Notice,Image
SERTRALINE ARROW,9851 BIS,0000-00-00,6095,SERTRALINE,50 mg,B/28,COMPRIMÉ,ARROW GENERIQUES,ORALE,INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SERETONINE (ISRS),RCP,Notice,Image
DONORMYL,9092,12/3/2020,2438,DOXYLAMINE SUCCINATE,15 mg,BOITE/10,COMPRIMÉ PELLICULÉ,UPSA,ORALE,HYPNOTIQUE / PHENOTHIAZINE,RCP,Notice,Image
VITAMIN E FORTE,9788,26/01/2022,2791,ACETATE DE DI-ALPHATOCOFEROL 125,400 mg,B/20,GELULLE,MEPACO,ORALE,VITAMINES,RCP,Notice,Image
PHLOROGLUCINOL,9788,26/01/2022,1889,PHLOROGLUCINOL DIHYDRATE,80 mg,B/10,COMPRIMÉ ORODISPERSIBLE,BIOGALENIQUE,ORALE,ANTISPASMODIQUE MUSCULOTROPE,RCP,Notice,Image
MEBENDAZOLE UBITHERA,9098,12/3/2020,1975,MEBENDAZOLE,100 mg,BOITE/10 BLISTER DE 6,COMPRIMÉ,UBITHERA PHARMA PVT LTD,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
GEN-M,9956,28/03/2022,2194,ARTHEMETER / LUMEFANTRINE,480 mg / 80 mg,B/6,COMPRIMÉ,GENIX PHARMA (PVT) LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
MYHEP,9787,26/01/2022,182874,SOFOSBUVIR,400 mg,B/28,COMPRIMÉ,MYLAN LABORATORIES LTD,ORALE,Antiviral,RCP,Notice,Image
CAL-C-VITA CP,9260,23/06/2020,2786,ACIDE ASCORBIQUE / CALCIUM / CHLORHYDRATE DE PYRIDOXINE / CHOLECALCIFEROL,1000 mg / 15 mg / 250 mg / 300 UI,BOITE/10,COMPRIMÉ EFFERVESCENT,BAYER HEALTHCARE,ORALE,VITAMINES,RCP,Notice,Image
GVIA M,9955,28/03/2022,10411,METFORMINE / STAGLIPTINE,50 mg / 500 mg,B/60,COMPRIMÉ,GENIX PHARMA (PVT) LTD,ORALE,Antidiabetique,RCP,Notice,Image
HALOPERIDIOL BIOGALENIC,9786,26/01/2022,1085,HALOPERIDOL,2 mg/ml,FL/20 ml,SOLUTION BUVABLE,BIOGALENIQUE,ORALE,ANTIPSYCHOTIQUES NEUROLEPTIQUES,RCP,Notice,Image
AKYNZEO,9955,28/03/2022,71834,NETUPITANT / PALONOSETRON,"0,5 mg / 300 mg",B/1,GÉLULE,HELSINN BIREX PHARMACEUTICALS LTD,ORALE,ANTAGONISTES DE LA SEROTONINE / ANTIEMETIQUE / ANTINAUSEEUX,RCP,Notice,Image
BETABIO,9785,26/01/2022,2389,BETAMETHASONE,0.05%,FL/30 ml,SOLUTION BUVABLE,BIOGALENIQUE,ORALE,GLUCOCORTICOIDE,RCP,Notice,Image
VASCOR-AM,9774 BIS,26/01/2022,7924,AMLODIPINE / ATORVASTATINE,10 mg,B/30,COMPRIMÉ,ATCO LABORATORIES LIMITED,ORALE,HYPOLIPIDEMIANT,RCP,Notice,Image
VASCOR-AM,9774,26/01/2022,5425,AMLODIPINE / ATORVASTATINE,10 mg / 5 mg,B/30,COMPRIMÉ,ATCO LABORATORIES LIMITED,ORALE,HYPOLIPIDEMIANT,RCP,Notice,Image
GVIA,9954,28/03/2022,5949,STAGLIPTINE,50 mg,B/28,COMPRIMÉ,GENIX PHARMA (PVT) LTD,ORALE,Antidiabetique,RCP,Notice,Image
ANGINOVAG SPRAY,9250,23/06/2020,2828,ACETATE D\’HYDROCORTISONE / CHLORURE DE DEQUALINIUM / ENOXOLONE / LIDOCAINE CHLORHYDRATE / TYROTHRICINE,0.060 g / 0.100 g / 0.400 g,FLACON/10 ml,SPRAY NASAL,FERRER INTERNATIONAL S.A.,NASALE,ANALGESIQUE / ANTI INFLAMMATOIRE / ANTISEPTIQUE,RCP,Notice,Image
RBC F,9953,28/03/2022,1828,ACIDE FOLIQUE / FER,"0,350 mg / 100 mg",B/30,COMPRIMÉ,GENIX PHARMA (PVT) LTD,ORALE,ANTIANEMIQUE,RCP,Notice,Image
RBC,9952,28/03/2022,12435,FER,125 mg,B/5 AMPOULES,SOLUTION INJECTABLE,GENIX PHARMA (PVT) LTD,INJECTABLE,ANTIANEMIQUE,RCP,Notice,Image
ENOPRIN,9763,26/01/2022,7924,ENOXOPARINE,80 mg,B/1,SOLUTION INJECTABLE,NEXTAR PHARMA,INJECTABLE,Antithrombotique,RCP,Notice,Image
RBC,9951,28/03/2022,5242,ACIDE FOLIQUE / FER / SELENIUM / VITAMINE B 12 / VITAMINE E,,FL/120 ml,SIROP,GENIX PHARMA (PVT) LTD,ORALE,ANTIANEMIQUE,RCP,Notice,Image
ENOPRIN,9762,26/01/2022,6705,ENOXOPARINE,60 mg,B/1,SOLUTION INJECTABLE,NEXTAR PHARMA,INJECTABLE,Antithrombotique,RCP,Notice,Image
CEFIXIRAP,9950,16/02/2022,4267,CEFIXIME ANHYDRE,200 mg,B/8,COMPRIMÉ,GARAP PHARMA 396,ORALE,CEFIXIME ANHYDRE,RCP,Notice,Image
LARITHER,9351,23/06/2020,5839,ARTEMETHER,80 mg,BOITE/6,AMPOULE INJECTABLE,IPCA LABORATOIRES LIMITED,INJECTABLE,ANTIPALUDIQUE,RCP,Notice,Image
ENOPRIN,9761,26/01/2022,4267,ENOXOPARINE,40 mg,B/1,SOLUTION INJECTABLE,NEXTAR PHARMA,INJECTABLE,Antithrombotique,RCP,Notice,Image
CEFIXIXRAP,9949,28/03/2022,3657,CEFIXIME ANHYDRE,40mg/5 ml,FL/40ml,SUSPENSION BUVABLE,GARAP PHARMA,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
OLANZAPINE ARROW,9843 BIS,0000-00-00,7314,OLANZAPINE,5 mg,B/28,COMPRIMÉ ORODISPERSIBLE,CADILA PHARMACEUTICAL LMD,ORALE,DIAZEPINES / OXAZEPINES / PSYCHOLEPTIQUES / THIAZEPINES ET OXEPINES,RCP,Notice,Image
T-DOL P RAPID,9233,23/06/2020,975,CHLORHYDRATE DE TRAMADOL / PARACETAMOL,"325 mg / 37,5 mg",BOITE/10,COMPRIMÉ,TROIKAA PHARMACEUTICALS LIMITED,ORALE,ANALGESIQUE,RCP,Notice,Image
PYRANTEL-GH,9760,27/01/2022,23164,PAMOATE DE PYRANTEL,"125 mg/2,5 ml",B/25,SACHET,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIHELMINTHIQUE,RCP,Notice,Image
PHARMENTIN XR,9758,26/01/2022,0,ACIDE CLAVULANIQUE / AMOXICIILLINE,1000 mg / 62.5 mg,B/10,COMPRIMÉ,PHARMACO DISTRIBUTION LTD,ORALE,Antibiotique,RCP,Notice,Image
ZEPOTIL,9948,28/03/2022,4876,CEFPODOXIME,50 mg/5 ml,FL/60ml,SUSPENSION BUVABLE,GARAP PHARMA,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
PALUCARE,9757,27/01/2022,0,DIHYDROARTEMISININE / PHOSPHATE DE PIPERAQUINE,320 mg / 40 mg,B/6,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
TERIBU,9947,28/03/2022,3067,IBUPROFEN,400 mg,B/100,COMPRIMÉ ENROBÉ,TERANGA PHARMA,ORALE,ANTINFLAMMATOIRE NON STEROÏDIEN / ANTIRHUMATISMAUX / DERIVES DE L’ACIDE PROPIONIQUE,RCP,Notice,Image
TERIBU,9946,8/3/2022,998,IBUPROFENE,400 mg,B/20,COMPRIMÉ ENROBÉ,TERANGA PHARMA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIRHUMATISMAUX / DERIVES DE L’ACIDE PROPIONIQUE,RCP,Notice,Image
JUVAMINE,9021,0000-00-00,1341,MAGNESIUM / VITAMINE B2 / VITAMINE B6,1.6 mg / 2 mg / 300 mg,BOITE/15,COMPRIMÉ,JUVA SANTE,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
DOLOSTOP,9574,27/01/2022,1097,PARACETAMOL,1000 mg,B/8,COMPRIMÉ EFFERVESCENT,PHARMA 5,ORALE,ANALGESIQUES ET ANTIPYRETIQUES-ANILIDES,RCP,Notice,Image
TERDICLO P,9945,9/3/2022,1840,DICLOFENAC DE SODIUM / PARACETAMOL,50 mg / 500 mg,B/20,COMPRIME NON ENROBE,TERANGA PHARMA SA,ORALE,ANALGESIQUE / ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIPYRETIQUE,RCP,Notice,Image
TERDICLO P,9944,28/03/2022,7768,DICLOFENAC SODIUM / PARACETAMOL,50 mg / 500 mg,B/100,COMPRIME NON ENROBE,TERANGA PHARMA,ORALE,ANALGESIQUE / ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIPYRETIQUE,RCP,Notice,Image
TERPARA,9647,26/01/2022,1298,PARACETAMOL,500 mg,B/16,COMPRIMÉ EFFERVESCENT,TERANGA PHARMA,ORALE,ANALGESIQUES ET ANTIPYRETIQUES-ANILIDES,RCP,Notice,Image
TERPARA,9651,26/01/2022,1189,PARACETAMOL,125 mg/5 ml,FL/90 ml,SIROP,TERANGA PHARMA,ORALE,ANALGESIQUES ET ANTIPYRETIQUES-ANILIDES,RCP,Notice,Image
TERCOX,9943,9/3/2022,4501,CELECOXIB,100 mg,B/10,GÉLULE,TERANGA PHARMA SA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIRHUMATISMAUX,RCP,Notice,Image
TERZOL,9653,26/01/2022,1170,ALBENDAZOLE,200 mg/5 ml,FL/30 ml,SIROP,TERANGA PHARMA,ORALE,ANTHELMINTIQUES,RCP,Notice,Image
DYLDES,9663,26/01/2022,2925,DESLORATADINE,"2,5 mg/5 ml",FL/60 ml,SIROP,AJANTA PHARMA LIMITED,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
SYNGAB,9686,26/01/2022,9753,PREGABALIN,100 mg,B/35,GELULLE,ATCO,ORALE,ANTIEPILEPTIQUE,RCP,Notice,Image
FRANCE LAIT 1 NOURRISSON,9695,28/03/2022,10045,VITAMINES,,POT DE 900 G,POUDRE LAIT,REGILAIT,ORALE,LAIT INFANTILE,RCP,Notice,Image
FRANCE LAIT LF NOURRISSON,9699,26/01/2022,6108,VITAMINES,400 g,POT,POUDRE LAIT,REGILAIT,ORALE,LAIT INFANTILE,RCP,Notice,Image
DELPRIM,,0000-00-00,5108,TRIMETHROPRIME,300 mg,BOITE/3,COMPRIMÉ,DE PHARMA,ORALE,Antibiotique,RCP,Notice,Image
TERCOLD,9943,9/3/2022,6499,CAFEINE ANHYDRE / PARACETAMOL,100 mg,B/10,GELULLE,TERANGA PHARMA SA,ORALE,ANTIINFLAMMATOIRE NON STEROÏDIEN / ANTIRHUMATISMAUX,RCP,Notice,Image
AZITHRO-GH,9705,0000-00-00,3657,AZITHROMYCINE,250 mg,B/3,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,Antibiotique,RCP,Notice,Image
MOXILAND,10027 QUARTER,8/4/2022,7314,ACIDE CLAVULANIQUE / AMOXICILLINE,1000 mg / 125 mg,B/16,POUDRE EN SACHET,MEDICEF PHARMA,ORALE,ANTIBACTERIEN A USAGE SYSTEMIQUE / PUISSANT INHIBITEUR DE LA BETALACTAMASE,RCP,Notice,Image
CIPROFLOXACINE UBIGEN,9106,0020-02-22,1219,CIPROFLOXACINE,100 mg/50 ml,FLACON/50 ml,SOLUTION POUR PERFUSION,UBITHERA PHARMA PVT LTD,PERFUSION,Antibiotique,RCP,Notice,Image
TERCIPRO,9942,28/03/2022,2558,CIPROFLOXACINE,500 mg,B/10,COMPRIMÉ ENROBÉ,TERANGA PHARMA SA,ORALE,Antibiotique,RCP,Notice,Image
EMEGEN,9710,27/01/2022,2682,METOPIMAZINE,10 mg/ml,B/10,SIROP,GENERiC HEALTH CARE PVT. LTD,ORALE,ANTIEMETIQUE / ANTINAUSEEUX,RCP,Notice,Image
XORIMAX,9026 BIS,0000-00-00,13483,CEFUROXIME,500 mg,BOITE/10,COMPRIMÉ ENROBÉ,SANDOZ,ORALE,Antibiotique,RCP,Notice,Image
SOLEXIM N,9941,28/03/2022,0,CEFIXIME,50 mg,FL/60 ml,SUSPENSION BUVABLE,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
SOLEXIM N,9941,28/03/2022,3047,CEFIXIME,50 mg,FL/60 ml,SUSPENSION BUVABLE,ZRENIE HEALTHCARE,ORALE,CEPHALOSPORINE DE TROISIEME GENERATION,RCP,Notice,Image
SALBURAP,9940,28/03/2022,1904,SULFATE DE SALBUTAMOL,2 mg/ml,FL/200 ml,SIROP,GARAP PHARMA,ORALE,AGONISTE SELECTIF DES RECEPTEURS BETA-2- ANDRENERGIQUES,RCP,Notice,Image
PYODINE SCRUB,9124,0000-00-00,975,IODE DE POVIDONE,7.5 g,FLACON/60 ml,SOLUTION DERMIQUE,BROOKES PHARMA,CUTANEE,ANTISEPTIQUE,RCP,Notice,Image
VENTICORT,9722,0000-00-00,11216,BUDESONIDE / FUMARATE DE FORMOTEROL DIHYDRATE,200 mcg / 6 mcg,B/1,COMPRIME A INHALLER,MACTER INTERNATIONAL LIMITED,NASALE,ADRENERGIQUES ET AUTRE,RCP,Notice,Image
PEGASYS,9939,8/3/2022,0,PEGINTERFERON ALFA-2A,"180 µg/0,5 ml",B/1,SERINGUE PRE REMPLIE,ROCHE PHARMA SA,INJECTABLE,VACCIN CONTRE L’HEPATITE B,RCP,Notice,Image
PEGASYS,9939,28/03/2022,248708,PEGINTERFERON ALFA-2A,"180 µg/0,5 ml",B/1,SERINGUE PRE REMPLIE,ROCHE PHARMA SA,INJECTABLE,VACCIN CONTRE L’HEPATITE B,RCP,Notice,Image
PEGASYS,9939,28/03/2022,192627,PEGINTERFERON ALFA-2A,"135 µg/0,5 ml",B/1,SERINGUE PRE REMPLIE,ROCHE PHARMA SA,INJECTABLE,VACCIN CONTRE L’HEPATITE B,RCP,Notice,Image
AMLOSTAT,9724,26/01/2022,5425,AMLODIPINE / ATORVASTATINE,10 mg / 5 mg,B/30,COMPRIMÉ,PHARMATEC PAKISTAN LIMITED,ORALE,Hypertenseur,RCP,Notice,Image
SOMAZINA,9292,23/06/2020,16714,CITICOLINE,500 mg,BOITE/5,AMPOULE INJECTABLE,FERRER INTERNATIONAL S.A.,INJECTABLE,PSYCHOSTIMULANT,RCP,Notice,Image
CANSAAR PLUS,9725,26/01/2022,12045,CANDESARTAN CILEXETIL / HYDROCHLOROTHIAZIDE,12.5 mg / 16 mg,,COMPRIMÉ,PHARMATEC PAKISTAN LIMITED,ORALE,VITAMINES,RCP,Notice,Image
ESORAP-D,9938,28/03/2022,4761,DOMPERIDONE / ESOMEPRAZOLE,30 mg / 40 mg,B/30,GELULLE,GARAP PHARMA,ORALE,AGENT ANTIREFLUX / ANTI ACIDE / ANTIEMETIQUE / ANTIULCEREUX,RCP,Notice,Image
MECOTEC,9728,26/01/2022,4876,MECOBALAMINE,500 mg,B/30,COMPRIMÉ,PHARMATEC PAKISTAN LIMITED,ORALE,VITAMINES,RCP,Notice,Image
CEFTRIRAP,9937,28/03/2022,1904,CEFTRIAXONE,"1 G/3,5 ml",B/1,SOLUTION INJECTABLE,GARAP PHARMA,INJECTABLE,Antibiotique,RCP,Notice,Image
BECTACEF,9936,9/3/2022,2438,CEFTRIAXONE / SULBACTAM,1000 mg / 500 mg,B/1,SOLUTION INJECTABLE,ZRENIE HEALTHCARE,INJECTABLE,Antibiotique,RCP,Notice,Image
AZIBACT,8090,22/04/2020,6085,AZITHROMYCINE,500 mg,BOITE/3,COMPRIMÉ,IPCA LABORATOIRES LIMITED,ORALE,Antibiotique,RCP,Notice,Image
AZIRAP,9935,28/03/2022,2761,AZITHROMYCINE,500 mg,B/3,COMPRIMÉ PELLICULÉ,GARAP PHARMA,ORALE,Antibiotique,RCP,Notice,Image
STRESAM,9243,9/6/2020,2230,CHLORHYDRATE D ETIFOXINE,50 mg,BOITE/24,GELULLE,BIOCODEX,ORALE,ANXIOLYTIQUE,RCP,Notice,Image
BUPITROY HEAVY,9742,26/01/2022,6095,CHLORHYDRATE DE BUPIVACAINE,5 mg,B/5 AMPOULES,SOLUTION INJECTABLE,TROIKAA PHARMACEUTICALS LIMITED,INJECTABLE,ANESTHESIQUE LOCAL,RCP,Notice,Image
ACTEMRA,9934,28/03/2022,193043,TOCILIZUMAB,80 mg/20 ml,B/1,SOLUTION POUR PERFUSION,ROCHE PHARMA SA,PARENTARALE,POLYARTHRITE RHUMATOIDE,RCP,Notice,Image
HALOPARA,9933,28/03/2022,877,PARACETAMOL,500 mg,B/16,COMPRIMÉ EFFERVESCENT,HALEWOOD LABORATORIES PVT. LTD. 319,ORALE,ANALGESIQUE / ANTIPYRETIQUE,RCP,Notice,Image
GRIPPO,9932,9/3/2022,1097,CAFEINE ANHYDRE / CHLORHYDRATE DE PHENYLEPHRINE / MALEATE DE CHLORPHENIRAMINE / PARACETAMOL,10 mg / 2 mg / 30 mg / 500 mg,,COMPRIMÉ,KUSUM HEALTHCARE PVT. LTD.,ORALE,ANALGESIQUE / ANTIHISTAMINIQUE / ANTIPYRETIQUE / DECONGESTIONNANT NASAL,RCP,Notice,Image
ONCOFLUOR,9219,22/04/2020,0,FLUOROURACILE,250 mg,BOITE/1,SOLUTION INJECTABLE,UNITED BIOTECH,INJECTABLE,ANTICANCEREUX,RCP,Notice,Image
AMOXICILLINE UBIGEN,9078,22/04/2020,670,AMOXICILLINE,125 mg/5 ml,FLACON/60 ml,POUDRE POUR SUSPENSION BUVABLE,UBITHERA PHARMA PVT LTD,ORALE,Antibiotique,RCP,Notice,Image
DOLEX,9073,22/04/2020,2438,DICLOFENAC SODIQUE,1 mg,FLACON/10 ml,GOUTTE OCCULAIRE,GENERiC HEALTH CARE PVT. LTD,OCULAIRE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
ZIOMYCIN,9931,9/3/2022,3901,AZITHROMYCINE,500 mg,B/30,COMPRIMÉ,KUSUM HEALTHCARE PVT. LTD.,ORALE,Antibiotique,RCP,Notice,Image
AMPICILLINE UBIGEN,9079,22/04/2020,7314,AMPICILLINE,500 mg,BOITE/120,GELULLE,UBITHERA PHARMA PVT LTD,ORALE,Antibiotique,RCP,Notice,Image
TRANTUM,9930,9/3/2022,4267,ACIDE TRANEXAMIQUE,500 mg,B/20,COMPRIMÉ,KUSUM HEALTHCARE PVT. LTD.,ORALE,"ANTIHEMORRAGIQUES, ANTIFIBRINOLYTIQUES",RCP,Notice,Image
STAYONG PLUS,9929,8/3/2022,1584,VITAMINES,,B/30,GELULLE,STALLION LABORATORIES PVT. LTD,ORALE,MULTIVITAMINES ET MULTI-MINERAUX,RCP,Notice,Image
STACEF,9928,8/3/2022,1584,CEFTRIAXONE,1 g,FL/10 ml,SOLUTION INJECTABLE,STALLION LABORATORIES PVT. LTD,INJECTABLE,Antibiotique,RCP,Notice,Image
PHYSIOLAC 1,9926,28/02/2022,7010,LAIT,,POT DE 400 G,LAIT EN POUDRE,GILBERT,ORALE,LAIT INFANTILE,RCP,Notice,Image
NEUTROPAR,9925,9/3/2022,1462,PARACETAMOL / TRAMADOL HYDROCHLORIDE,1000 mg,FL/100 ml,SOLUTION POUR PERFUSION,AHAAN HEALTHCARE PVT. LMT. INDIA,PARENTARALE,"ANALGESIQUES, OPIOIDES EN ASSOCIATION AVEC DES ANLGESIQUES NON OPIOIDES",RCP,Notice,Image
NEURODOL R,9924,9/3/2022,3657,ACECLOFENAC / PARACETAMOL / RABEPRAZOLE,10 mg / 100 mg / 500 mg,B/30,GELULLE,AHAAN HEALTHCARE PVT. LMT. INDIA,ORALE,ANALGESIQUES (NON OPIOIDES) ET ANTIPYRETIQUES ANTI-INFLAMMATOIRES NON STEROIDIENS (AINS),RCP,Notice,Image
NICOPENEM,9842 BIS,0000-00-00,14629,MEROPENEME,500 mg,B/1,SOLUTION INJECTABLE,ZRENIE,INJECTABLE,Antibiotique,RCP,Notice,Image
CETRIX,9408 BIS,24/07/2020,1560,CETIRIZINE,10 mg,BOITE/7,COMPRIME A SUCER,MEDINFAR,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
LEVOMEP GH,9835 BIS,0000-00-00,7314,LEVOMEPROMAZINE,100 mg,B/20,COMPRIMÉ,GENERiC HEALTH CARE PVT. LTD,ORALE,Antipsychotique,RCP,Notice,Image
NYSTATINE UBIGEN,9383,15/07/2020,1219,NYSTATINE,100000 UI,FLACON/30 ml,POUDRE POUR SUSPENSION BUVABLE,UBITHERA PHARMA PVT LTD,ORALE,Antibiotique,RCP,Notice,Image
FLONIX,9827 BIS,0000-00-00,9875,LEVOFLOXACINE,500 mg,B/14,COMPRIMÉ,FAES PHARMA,ORALE,ANTIBIOTIQUE DE LA FAMILLE DES QUINOLONES,RCP,Notice,Image
NEUFER PLUS,9922,8/3/2022,2438,ACIDE FOLIQUE / FER ELEMENTAIRE / VITAMINE B 12 / ZINC ELEMENTAIRE,"60 mg / 7,5 mcg / 750 mcg / 8 mg",B/30,COMPRIMÉ,AHAAN HEALTHCARE PVT. LMT. INDIA,ORALE,HEMATINIQUE ET MULTIVITAMINE,RCP,Notice,Image
MYDELKA,9920,8/3/2022,64407,DACLATASVIR,60 mg,B/28,COMPRIMÉ PELLICULÉ,MYLAN LABORATORIES LTD,ORALE,Antiviral,RCP,Notice,Image
